Romanian,English
gata,ready
loc,place
primul,first
repde,fast
aici,here
afară,outside
cerere,request
început,beginning
plajă,beach
maşină,car
deoarece,because
înapoi,back
măr,apple
gen,kind
bătrân,old
destul,enough
tip,type
făcut,made
tren,train
ajutor,help
nu,no
după,after
pământ,Earth
fete,girls
înţeles,understood
găsit,found
punct,point
frate,brother
noapte,night
viaţa,life
soţ,husband
frumos,beautiful
stop,Stop
parte,side
nou,new
loc,place
exact,exact
birou,office
doi,two
corp,body
nevoie,need
minute,minutes
deja,already
stânga,left
cauză,cause
imediat,immediate
mare,big
vers,towards
peste,over
bani,money
ochi,eyes
dată,date
scuze,sorry
pătrat,square
trebuie,must
numai,only
nume,name
oraş,city
pierdut,lost
iubire,love
ore,hours
ascultă,listen
toate,all
azi,today
cameră,bedroom
nimic,nothing
bună,hello
dreapta,right
ani,years
istorie,history
băieţi,boys
căutare,search
timp,time
lasa,let
cont,account
spus,said
putere,power
apă,water
mână,hand
bebe,baby
merge,go
oferit,given
drum,road
om,human
ziua,day
poliţie,police
vino,come
speranţă,hope
yes,da
lună,month
avertizare,Warning
gând,thought
aproape,close
mare,big
mulţumesc,thank you
cine,who
împreună,together
copil,child
poţi,can
dimineaţa,morning
vrei,want
sfârşit,end